wave, intensity
1956.603, 60.36018
1958.531, 60.80364
1960.460, 61.80351
1962.388, 62.40551
1964.317, 62.65948
1966.245, 63.25351
1968.173, 64.67519
1970.102, 64.67504
1972.030, 61.28029
1973.959, 59.11058
1975.887, 59.90350
1977.816, 61.37073
1979.744, 62.52006
1981.673, 63.30561
1983.601, 63.71165
1985.530, 63.69965
1987.458, 62.92480
1989.387, 61.05769
1991.315, 60.03841
1993.244, 60.15976
1995.172, 60.64495
1997.100, 62.10796
1999.029, 62.82770
2000.957, 61.28875
2002.886, 59.47221
2004.814, 58.96923
2006.743, 59.36085
2008.671, 59.73000
2010.600, 60.16547
2012.528, 61.84503
2014.457, 65.31930
2016.385, 66.95477
2018.314, 65.05254
2020.242, 63.37120
2022.171, 63.24786
2024.099, 63.46581
2026.027, 63.32538
2027.956, 63.14383
2029.884, 63.51591
2031.813, 64.16750
2033.741, 63.92303
2035.670, 62.52011
2037.598, 62.03770
2039.527, 62.87833
2041.455, 63.76988
2043.384, 65.20383
2045.312, 65.75449
2047.241, 64.57222
2049.169, 62.91054
2051.098, 60.78798
2053.026, 59.13939
2054.955, 59.76032
2056.883, 61.77260
2058.812, 62.14634
2060.740, 60.86498
2062.668, 60.80553
2064.597, 62.69599
2066.525, 63.87004
2068.454, 63.04515
2070.382, 62.64542
2072.311, 64.33408
2074.239, 65.66692
2076.168, 64.46738
2078.096, 62.52986
2080.025, 62.17624
2081.953, 62.97383
2083.882, 63.52141
2085.810, 63.86762
2087.739, 63.34214
2089.667, 61.34803
2091.595, 60.60573
2093.524, 62.15534
2095.452, 63.38186
2097.381, 63.57776
2099.309, 63.18855
2101.238, 61.78333
2103.166, 60.52919
2105.095, 60.98479
2107.023, 60.16383
2108.952, 59.94303
2110.880, 60.35379
2112.809, 59.90195
2114.737, 60.72827
2116.666, 61.60163
2118.594, 62.31800
2120.522, 63.32992
2122.451, 65.33257
2124.379, 66.70662
2126.308, 66.92535
2128.236, 66.38857
2130.165, 65.04685
2132.093, 63.33838
2134.022, 61.20583
2135.950, 59.27332
2137.879, 59.94973
2139.807, 58.83866
2141.736, 58.84541
2143.664, 60.35374
2145.593, 59.72464
2147.521, 63.56414
2149.449, 65.64187
2151.378, 62.94410
2153.306, 60.48705
2155.235, 60.14040
2157.163, 60.59018
2159.092, 60.75975
2161.020, 61.32235
2162.949, 63.96677
2164.877, 63.86300
2166.806, 64.37452
2168.734, 65.40514
2170.663, 64.48599
2172.591, 65.36673
2174.520, 66.09104
2176.448, 66.43481
2178.376, 66.69575
2180.305, 66.92657
2182.233, 67.11514
2184.162, 67.77766
2186.090, 67.73900
2188.019, 65.55486
2189.947, 63.07293
2191.876, 61.89132
2193.804, 61.83158
2195.733, 62.84882
2197.661, 64.74447
2199.590, 66.59228
2201.518, 68.43844
2203.447, 68.04061
2205.375, 64.62207
2207.303, 63.51070
2209.232, 66.62599
2211.160, 68.53957
2213.089, 67.07297
2215.017, 65.26603
2216.946, 64.07870
2218.874, 63.29321
2220.803, 62.89053
